"","var","rel.inf"
"YOSELL2","YOSELL2",19.1227852635376
"FRDMJMON","FRDMJMON",13.7253014050114
"STNDSMJ","STNDSMJ",9.95044858329885
"YFLMJMO","YFLMJMO",8.27003697656288
"PRMJMO","PRMJMO",6.4850776307468
"EDUSCHGRD2_T","EDUSCHGRD2_T",6.1614827240595
"YOSTOLE2","YOSTOLE2",5.18350025300029
"NEWRACE2","NEWRACE2",2.57735329300803
"PRMJEVR2","PRMJEVR2",2.51950923061583
"YOATTAK2","YOATTAK2",2.22859431092952
"PARCHKHW","PARCHKHW",2.07927807957533
"YOGRPFT2","YOGRPFT2",1.9183896408462
"STNDDNK","STNDDNK",1.83267608591653
"EDUSKPCOM_T","EDUSKPCOM_T",1.60846726107145
"STNDALC","STNDALC",1.27540514120901
"ARGUPAR","ARGUPAR",1.1930621494145
"PARHLPHW","PARHLPHW",1.15412385421878
"YFLTMRJ2","YFLTMRJ2",1.0112216512754
"SCHFELT","SCHFELT",0.935884276531462
"PRALDLY2","PRALDLY2",0.88908918479365
"HEALTH2","HEALTH2",0.772313303127241
"INCOME","INCOME",0.603377135616407
"IMOTHER","IMOTHER",0.595733548316647
"PRVDRGO2","PRVDRGO2",0.541715413761221
"PRPKCIG2","PRPKCIG2",0.536128026688638
"TCHGJOB","TCHGJOB",0.53289671657544
"FRDADLY2","FRDADLY2",0.501799938830187
"PDEN10","PDEN10",0.456733463305171
"YFLPKCG2","YFLPKCG2",0.382085322560829
"YOHGUN2","YOHGUN2",0.373859894352909
"ANYEDUC3","ANYEDUC3",0.363306437596144
"RLGDCSN","RLGDCSN",0.346117671356804
"PRPROUD2","PRPROUD2",0.321760344586782
"RLGIMPT","RLGIMPT",0.318759083066563
"POVERTY3","POVERTY3",0.312972157887757
"AVGGRADE","AVGGRADE",0.309913567089809
"YOFIGHT2","YOFIGHT2",0.300733752672203
"GOVTPROG","GOVTPROG",0.291052337043474
"PRGDJOB2","PRGDJOB2",0.280610474297176
"COUTYP4","COUTYP4",0.245668208197404
"IRSEX","IRSEX",0.244176711584522
"YFLADLY2","YFLADLY2",0.232755948293091
"FRDMEVR2","FRDMEVR2",0.217278770051198
"PARLMTSN","PARLMTSN",0.21459436954121
"FRDPCIG2","FRDPCIG2",0.188500904857604
"YTHACT2","YTHACT2",0.18645371025404
"PRCHORE2","PRCHORE2",0.0924900871226643
"IFATHER","IFATHER",0.0591942039416387
"GRPCNSL2","GRPCNSL2",0.0553315018022933
"EDUSCHLGO_T","EDUSCHLGO_T",0
"STNDSCIG","STNDSCIG",0
"PRLMTTV2","PRLMTTV2",0
"TALKPROB","TALKPROB",0
"PRTALK3","PRTALK3",0
"PRBSOLV2","PRBSOLV2",0
"PREVIOL2","PREVIOL2",0
"PREGPGM2","PREGPGM2",0
"DRPRVME3","DRPRVME3",0
"RLGATTD","RLGATTD",0
"RLGFRND","RLGFRND",0
