"","var","rel.inf"
"YOSELL2","YOSELL2",15.1815497548984
"FRDMJMON","FRDMJMON",13.8102591049576
"STNDSMJ","STNDSMJ",8.4346709074335
"EDUSCHGRD2_T","EDUSCHGRD2_T",6.97897256721133
"PRMJMO","PRMJMO",6.18905013877159
"YFLMJMO","YFLMJMO",6.17256519620919
"YOSTOLE2","YOSTOLE2",5.44114604720555
"YOATTAK2","YOATTAK2",3.70997510368132
"YFLTMRJ2","YFLTMRJ2",2.3560898742004
"PRMJEVR2","PRMJEVR2",2.13041862881236
"YOGRPFT2","YOGRPFT2",1.90054844237879
"PARCHKHW","PARCHKHW",1.79363896196538
"EDUSKPCOM_T","EDUSKPCOM_T",1.57711439258473
"YTHACT2","YTHACT2",1.45504540707847
"HEALTH2","HEALTH2",1.39741011709107
"NEWRACE2","NEWRACE2",1.3441379281585
"YFLADLY2","YFLADLY2",1.33617421748549
"YFLPKCG2","YFLPKCG2",1.22065943669572
"STNDDNK","STNDDNK",1.16394531607107
"YOFIGHT2","YOFIGHT2",1.15856274335419
"PRTALK3","PRTALK3",1.08169728560673
"STNDALC","STNDALC",1.06973701451167
"SCHFELT","SCHFELT",1.06091804841518
"PRGDJOB2","PRGDJOB2",0.977266871716732
"PARHLPHW","PARHLPHW",0.899823979697766
"ARGUPAR","ARGUPAR",0.800156076110931
"PRVDRGO2","PRVDRGO2",0.780254269336731
"COUTYP4","COUTYP4",0.756424931712325
"IMOTHER","IMOTHER",0.750374887612078
"PDEN10","PDEN10",0.729250482013099
"IRSEX","IRSEX",0.688059169919603
"PRPROUD2","PRPROUD2",0.646507925204071
"FRDMEVR2","FRDMEVR2",0.606080867373015
"PRPKCIG2","PRPKCIG2",0.595556671480888
"GRPCNSL2","GRPCNSL2",0.590012289310894
"AVGGRADE","AVGGRADE",0.496944281105839
"FRDPCIG2","FRDPCIG2",0.395139233153776
"PRCHORE2","PRCHORE2",0.385949794595739
"YOHGUN2","YOHGUN2",0.333531837360214
"ANYEDUC3","ANYEDUC3",0.325893524415097
"POVERTY3","POVERTY3",0.300042352562954
"FRDADLY2","FRDADLY2",0.263531469220216
"RLGIMPT","RLGIMPT",0.216215108316771
"INCOME","INCOME",0.181342529342475
"PARLMTSN","PARLMTSN",0.174223348741729
"IFATHER","IFATHER",0.0747430556730105
"STNDSCIG","STNDSCIG",0.0683884092457699
"EDUSCHLGO_T","EDUSCHLGO_T",0
"GOVTPROG","GOVTPROG",0
"TCHGJOB","TCHGJOB",0
"PRLMTTV2","PRLMTTV2",0
"PRALDLY2","PRALDLY2",0
"TALKPROB","TALKPROB",0
"PRBSOLV2","PRBSOLV2",0
"PREVIOL2","PREVIOL2",0
"PREGPGM2","PREGPGM2",0
"DRPRVME3","DRPRVME3",0
"RLGATTD","RLGATTD",0
"RLGDCSN","RLGDCSN",0
"RLGFRND","RLGFRND",0
