"ntrees","depth","shrinkage","cv_error","train_error","test_error"
25,1,0.001,2658.35701549954,2655.03786724274,2981.06168211594
50,1,0.001,2643.52736214631,2641.69731945362,2965.55972453647
100,1,0.001,2619.37929256485,2616.54358712262,2933.99339710611
150,1,0.001,2595.70490377122,2592.36272038408,2905.30726278461
25,2,0.001,2648.34465517141,2646.58026217759,2967.09922397346
50,2,0.001,2630.62024648115,2626.08373336511,2941.25001855881
100,2,0.001,2589.95479987279,2586.9019658759,2891.234965231
150,2,0.001,2555.30353284156,2551.08900302097,2842.04884428826
25,3,0.001,2645.52075196482,2643.30246078527,2964.58341706497
50,3,0.001,2622.77763466582,2618.85967369387,2934.18405980971
100,3,0.001,2577.65583745528,2573.95144485642,2875.52177831723
150,3,0.001,2539.7625024963,2529.65803464859,2818.73776123644
25,1,0.01,2553.5998334181,2549.29544564437,2849.64443584468
50,1,0.01,2463.98617658568,2460.51042373762,2739.14074791836
100,1,0.01,2328.13610412194,2329.17003226291,2553.47539892411
150,1,0.01,2254.18060963921,2239.85311800721,2437.00989742524
25,2,0.01,2493.3380780859,2487.07916058209,2763.32454000439
50,2,0.01,2375.22631069936,2355.21421351147,2589.05508428316
100,2,0.01,2207.38956205309,2185.14247142428,2375.507209621
150,2,0.01,2120.01259476199,2089.9758435036,2253.83817058916
25,3,0.01,2462.90868490536,2457.81685933194,2722.49206182591
50,3,0.01,2335.91706016055,2301.72413075411,2527.53058838796
100,3,0.01,2166.61437607132,2125.09232452691,2310.18658709531
150,3,0.01,2090.98245596489,2019.82499078506,2194.37152905149
25,1,0.05,2286.32131659647,2272.50442882039,2479.48191446481
50,1,0.05,2152.62384201517,2137.55483611481,2295.32202793403
100,1,0.05,2079.16550261765,2060.06999445306,2204.85338263585
150,1,0.05,2062.27674499596,2034.07013230171,2176.95478567493
25,2,0.05,2163.18054358301,2131.87043532196,2306.459169144
50,2,0.05,2045.74969397719,1986.91165031717,2131.34010273615
100,2,0.05,1971.64090305829,1871.6807532436,2046.70756984732
150,2,0.05,1967.85495145464,1824.16021220854,2025.70764758414
25,3,0.05,2103.66184710784,2060.56883498058,2230.75883541339
50,3,0.05,2021.96325358914,1894.23970818524,2070.12767502174
100,3,0.05,1969.66653486506,1757.94275938588,1967.20766230993
150,3,0.05,1948.14855888375,1676.42730122587,1962.8758660925
25,1,0.1,2151.08279690926,2137.18747007076,2308.33136641937
50,1,0.1,2093.1452937768,2061.99220015635,2187.64771916592
100,1,0.1,2048.70297165018,2024.27039917109,2157.46238099934
150,1,0.1,2049.23261669187,2002.90275404109,2148.75111715087
25,2,0.1,2045.27793177701,1986.90718267666,2134.16782554405
50,2,0.1,1984.5099010351,1871.15341887716,2055.48293306947
100,2,0.1,1969.65730338135,1796.74006896957,2018.95869097315
150,2,0.1,2009.50673245051,1741.00578198076,1995.83371012218
25,3,0.1,2008.07885527802,1898.18122001624,2104.57363364229
50,3,0.1,1943.28426781368,1757.79721034333,2006.51800025341
100,3,0.1,1932.262307309,1645.10041091397,1967.54651762244
150,3,0.1,1990.48289640755,1557.43448358648,1970.16625791209
