"ntrees","depth","shrinkage","cv_error","train_error","test_error"
25,1,0.001,12.5243095400675,2820.51104508706,3162.74563698127
50,1,0.001,12.410897397248,2820.50525590322,3162.73909824794
100,1,0.001,12.1963657971669,2820.49291711249,3162.72511580246
150,1,0.001,11.9960916460954,2820.47956096746,3162.71017381546
25,2,0.001,12.4986791413319,2820.50920973484,3162.74352725735
50,2,0.001,12.3494188386214,2820.50132469242,3162.73457111209
100,2,0.001,12.0892036709326,2820.48408459651,3162.7147476887
150,2,0.001,11.8513387559962,2820.46306625386,3162.69078963261
25,3,0.001,12.4839098353319,2820.50867981899,3162.7429040086
50,3,0.001,12.3231017535626,2820.50007341901,3162.73308816733
100,3,0.001,12.0340961367025,2820.48060333439,3162.71047327742
150,3,0.001,11.7826095824142,2820.45743130286,3162.68333422123
25,1,0.01,11.6447719897093,2820.4501316392,3162.67747665634
50,1,0.01,10.9520692227102,2820.35978006832,3162.57712679339
100,1,0.01,10.0916051514779,2820.08686863003,3162.26374267477
150,1,0.01,9.54277141700386,2819.64931486847,3161.64566823261
25,2,0.01,11.4016654443723,2820.4141028032,3162.63472769453
50,2,0.01,10.5959181845332,2820.21621989193,3162.38724401632
100,2,0.01,9.5610255310873,2819.2380509415,3160.87387660628
150,2,0.01,8.99027262662863,2816.48979736161,3155.69746783219
25,3,0.01,11.3178772164477,2820.39881415024,3162.6126096116
50,3,0.01,10.4030189136179,2820.16183290793,3162.31577809735
100,3,0.01,9.36962698782492,2818.64735130642,3159.80655157642
150,3,0.01,8.82441893474916,2814.63344302057,3152.46419015088
25,1,0.05,9.7833170172355,2819.8453400995,3161.95945069264
50,1,0.05,8.9119941218426,2816.98586873523,3156.66129260023
100,1,0.05,8.46602670628689,2792.76102520763,3096.40928002425
150,1,0.05,8.29801450790256,2765.19869837187,3015.35732924046
25,2,0.05,9.25691489502985,2818.11315505864,3159.09166170513
50,2,0.05,8.44113137335353,2796.26473324411,3106.77330778894
100,2,0.05,8.023654324658,2657.2617516499,2751.09924209281
150,2,0.05,7.92604282888831,2713.23456776131,4159.07054136593
25,3,0.05,9.04909389510583,2817.11010001725,3157.34332975213
50,3,0.05,8.31010952006442,2781.68313814708,3082.95793586317
100,3,0.05,7.97151895592967,2606.76769958454,2705.79387008508
150,3,0.05,7.9028663327596,2858.73300489672,4093.13815672374
25,1,0.1,8.90341971859355,2816.37448563778,3155.3590101598
50,1,0.1,8.43640444726768,2797.15758964397,3107.19044843778
100,1,0.1,8.21147739145101,2739.79047142208,2914.55038336525
150,1,0.1,8.10351962304605,2696.7099612768,2816.52885507784
25,2,0.1,8.40002461219504,2799.44205062114,3118.17889489349
50,2,0.1,8.0651732758082,2654.80410275866,2844.86851673976
100,2,0.1,7.88549680478346,2968.08818652116,12583.3702060661
150,2,0.1,7.89031678314359,4970.43137511443,29632.0118024561
25,3,0.1,8.27644252736521,2775.19109327155,3068.10708910961
50,3,0.1,7.92280656679306,2675.93156308474,3198.09179611446
100,3,0.1,7.92998577820961,3991.93641598151,24772.59668777
150,3,0.1,7.88045659225489,3818.62668673008,52498.5357348973
