"feature","test","statistic","p.value"
"IRALCFY","F-test",12751.7657414779,0
"IRMJFY","F-test",1720.00713413925,0
"IRCIGFM","F-test",171.657045661704,8.02095146946422e-39
"IRSMKLSS30N","F-test",51.685422672365,7.09878530388499e-13
"IRALCFM","F-test",3510.80131186558,0
"IRMJFM","F-test",1371.15059104627,2.85359362893195e-277
"IRCIGAGE","F-test",1607.42107307149,1.37300842979282e-320
"IRSMKLSSTRY","F-test",314.573791742095,4.50631744021594e-69
"IRALCAGE","F-test",9384.58714898748,0
"IRMJAGE","F-test",2983.48747087565,0
"MRJFLAG","chi-squared",2297.50362664359,0
"ALCFLAG","chi-squared",5928.75179771252,0
"TOBFLAG","chi-squared",1496.89976888096,1.38338380835549e-321
"MRJYDAYS","F-test",2992.84201730689,0
"ALCMDAYS","F-test",6242.66958352916,0
"MRJMDAYS","F-test",1942.00893517829,0
"CIGMDAYS","F-test",381.158085698172,5.69022604713303e-83
"SMKLSMDAYS","F-test",67.2320304224432,2.78723299632298e-16
"SCHFELT","chi-squared",51.4472586839852,7.00328807225833e-10
"TCHGJOB","chi-squared",65.7607715377229,7.79213994145621e-13
"AVGGRADE","chi-squared",44.4404446554286,1.88513005658518e-08
"STNDSCIG","chi-squared",21.3987143928216,0.00068091594694071
"STNDSMJ","chi-squared",699.661330091642,5.81412028404583e-149
"STNDALC","chi-squared",984.688644899915,1.24070129178924e-210
"STNDDNK","chi-squared",304.964280636587,8.57640616041731e-64
"PARCHKHW","chi-squared",127.077344806832,9.9228843676824e-26
"PARHLPHW","chi-squared",158.608297674053,1.95948387684231e-32
"PRCHORE2","chi-squared",20.8984522995563,0.000846634070458656
"PRLMTTV2","chi-squared",169.875985409779,7.75464712697197e-35
"PARLMTSN","chi-squared",9.23623065963714,0.100004651544591
"PRGDJOB2","chi-squared",147.714730215085,4.09164952440542e-30
"PRPROUD2","chi-squared",125.19697102018,2.48540510132013e-25
"ARGUPAR","chi-squared",116.369588109746,1.84242687245606e-23
"YOFIGHT2","chi-squared",69.1281261923204,1.55606084643331e-13
"YOGRPFT2","chi-squared",89.5995891735594,8.15516222367204e-18
"YOHGUN2","chi-squared",193.475672270684,7.05937814689499e-40
"YOSELL2","chi-squared",317.56328510427,1.6736679525716e-66
"YOSTOLE2","chi-squared",327.463464751382,1.24093148873276e-68
"YOATTAK2","chi-squared",88.4955011904622,1.39086297161517e-17
"PRPKCIG2","chi-squared",84.8384139214375,8.13850924838504e-17
"PRMJEVR2","chi-squared",567.679257147811,1.94214649903842e-120
"PRMJMO","chi-squared",487.182828518199,4.66252613739528e-103
"PRALDLY2","chi-squared",264.94141812108,3.41313850548099e-55
"YFLPKCG2","chi-squared",85.4010174545301,6.20272988190435e-17
"YFLTMRJ2","chi-squared",870.699198918793,5.83697433091694e-186
"YFLMJMO","chi-squared",936.610571790764,3.17063462028167e-200
"YFLADLY2","chi-squared",328.482630613909,7.48946472178463e-69
"FRDPCIG2","chi-squared",95.5927723431392,4.48029345527938e-19
"FRDMEVR2","chi-squared",854.307071240039,2.05750332065952e-182
"FRDMJMON","chi-squared",851.514563129697,8.27176314156019e-182
"FRDADLY2","chi-squared",343.816971905166,3.75134371130764e-72
"TALKPROB","chi-squared",15.9187177156989,0.00708001096537386
"PRTALK3","chi-squared",10.376752120365,0.0652373951460558
"PRBSOLV2","chi-squared",13.0473434929664,0.022939124730639
"PREVIOL2","chi-squared",14.863665598341,0.0109610376674794
"PRVDRGO2","chi-squared",14.0940498821973,0.0150229074534141
"GRPCNSL2","chi-squared",14.0653661451837,0.0151994898714269
"PREGPGM2","chi-squared",0.800664045595863,0.976990969498698
"YTHACT2","chi-squared",9.09224319505485,0.105440970471846
"DRPRVME3","chi-squared",17.3594020472856,0.00386628591449144
"ANYEDUC3","chi-squared",4.7674217002945,0.444918634975668
"RLGATTD","chi-squared",38.3688437648177,3.18121609034145e-07
"RLGIMPT","chi-squared",91.3905995992915,3.42871328712313e-18
"RLGDCSN","chi-squared",105.733092579695,3.26399100545468e-21
"RLGFRND","chi-squared",75.3189296345679,7.98100990692257e-15
"IRSEX","chi-squared",43.6442151821616,2.73517315463628e-08
"NEWRACE2","chi-squared",94.8365019130581,1.19205108312011e-08
"HEALTH2","chi-squared",134.155540828028,3.2557119414847e-21
"EDUSCHLGO","chi-squared",6.60007569711079,0.252121855598574
"EDUSCHGRD2","chi-squared",625.035656055408,2.47798763015141e-100
"EDUSKPCOM","chi-squared",85.6858453865255,3.82241194812973e-14
"IMOTHER","chi-squared",81.2706177271382,2.82810392695621e-13
"IFATHER","chi-squared",54.0610430083578,4.72687152240109e-08
"INCOME","chi-squared",68.0618688648671,9.86812464065021e-09
"GOVTPROG","chi-squared",31.9203061109252,6.16109238941e-06
"POVERTY3","chi-squared",64.6139690175373,4.80423414010313e-10
"PDEN10","chi-squared",4.05310777869237,0.944919390385991
"COUTYP4","chi-squared",7.82170924022187,0.646247153917096
