"feature","test","statistic","p.value"
"IRALCFY","Spearman-correlation",0.529438643690696,NA
"IRCIGFM","Spearman-correlation",0.255216820448737,NA
"IRSMKLSS30N","Spearman-correlation",0.113813363047272,NA
"IRALCFM","Spearman-correlation",0.421129014135215,NA
"IRMJFM","Spearman-correlation",0.7621181016031,NA
"IRCIGAGE","Spearman-correlation",0.448995187788286,NA
"IRSMKLSSTRY","Spearman-correlation",-0.199573891496198,NA
"IRALCAGE","Spearman-correlation",-0.499210455936995,NA
"IRMJAGE","Spearman-correlation",-0.894784046233212,NA
"MRJFLAG","t-test",-25.3027404726011,2.83099661760092e-115
"ALCFLAG","t-test",-20.1310916798891,1.9211406910907e-82
"TOBFLAG","t-test",-17.1749721913263,1.66650889777313e-56
"ALCYDAYS","Spearman-correlation",0.523295833555823,NA
"MRJYDAYS","Spearman-correlation",0.999772788993709,NA
"ALCMDAYS","Spearman-correlation",0.419658625259413,NA
"MRJMDAYS","Spearman-correlation",0.762060575866954,NA
"CIGMDAYS","Spearman-correlation",0.255147847141297,NA
"SMKLSMDAYS","Spearman-correlation",0.113808320895278,NA
"SCHFELT","t-test",-8.56491990457393,1.74671101084609e-17
"TCHGJOB","t-test",-5.6596219554854,1.65875831399079e-08
"AVGGRADE","t-test",6.74271036421776,4.36678691521054e-11
"STNDSCIG","t-test",2.24029172984557,0.0252410763701367
"STNDSMJ","t-test",17.5693142026798,2.8731313581279e-65
"STNDALC","t-test",13.6420321971816,5.02668073263162e-41
"STNDDNK","t-test",9.26911656330742,1.35838217584919e-19
"PARCHKHW","t-test",-7.27960815641976,4.75828448046609e-13
"PARHLPHW","t-test",-7.1310311657882,1.33163442388518e-12
"PRCHORE2","t-test",-3.43365546904578,0.00061699376464517
"PRLMTTV2","t-test",-10.054223971388,1.2173692953203e-23
"PARLMTSN","t-test",0.924825070690508,0.35508688083234
"PRGDJOB2","t-test",-6.88706700983874,8.00087093370728e-12
"PRPROUD2","t-test",-7.47253883202403,1.19985254752857e-13
"ARGUPAR","t-test",-6.42236559524124,1.69004552085562e-10
"YOFIGHT2","t-test",7.08682816268883,2.1073725740257e-12
"YOGRPFT2","t-test",7.31533870765594,5.79500071616394e-13
"YOHGUN2","t-test",6.49079868617436,2.27837011732117e-10
"YOSELL2","t-test",10.3238120525393,6.83466556013195e-18
"YOSTOLE2","t-test",8.97362171715464,1.55710060870054e-17
"YOATTAK2","t-test",7.19185866067543,2.75680873631288e-12
"PRPKCIG2","t-test",-4.89833065856414,1.28609019410106e-06
"PRMJEVR2","t-test",-15.4553303823253,1.97735903293044e-50
"PRMJMO","t-test",-15.434944213082,1.09873403644218e-49
"PRALDLY2","t-test",-7.35589880223644,4.87526204781286e-13
"YFLPKCG2","t-test",-4.56293080767412,6.00597312930949e-06
"YFLTMRJ2","t-test",-16.9847795970738,1.69994719712957e-60
"YFLMJMO","t-test",-17.8483518856177,4.45980834033923e-66
"YFLADLY2","t-test",-8.60046899865221,3.38797060475202e-17
"FRDPCIG2","t-test",-4.95503724271902,8.94841886115695e-07
"FRDMEVR2","t-test",-17.5418747403019,3.59194738885485e-64
"FRDMJMON","t-test",-18.3754664317909,1.86890308759086e-69
"FRDADLY2","t-test",-9.17857443350891,2.67610905414903e-19
"TALKPROB","t-test",4.25279634633226,2.49665758443126e-05
"PRTALK3","t-test",1.8435360865119,0.0652879941400405
"PRBSOLV2","t-test",0.788389681198519,0.430555915165168
"PREVIOL2","t-test",0.728049974824456,0.466824051202765
"PRVDRGO2","t-test",2.09684944299088,0.0363747651467026
"GRPCNSL2","t-test",2.34348584489972,0.0201690265169723
"PREGPGM2","t-test",-0.187136607686616,0.851666096291701
"YTHACT2","t-test",3.94531494008984,8.28097436358389e-05
"DRPRVME3","t-test",-0.767498423960399,0.442818121053826
"ANYEDUC3","t-test",-3.50020625674525,0.000469812363546823
"RLGATTD","t-test",-10.5096997515711,1.3585305470775e-25
"RLGIMPT","t-test",-7.39821440633992,1.62315651182793e-13
"RLGDCSN","t-test",-7.51492518544879,6.48914632363438e-14
"RLGFRND","t-test",-7.27257951233568,3.99149993470252e-13
"IRSEX","t-test",-3.48861793369237,0.000488198892519816
"NEWRACE2","F-test",5.18327575609635,2.48271324426091e-05
"HEALTH2","F-test",51.5235422456073,5.6142069915619e-33
"EDUSCHLGO","t-test",3.26461556096594,0.00113859721835573
"EDUSCHGRD2","F-test",19.1789434269326,2.33540825985799e-35
"EDUSKPCOM","F-test",55.8761200723472,7.95154949173632e-25
"IMOTHER","F-test",24.2066372219206,3.30159700445456e-11
"IFATHER","F-test",17.950357537535,1.66577544875618e-08
"INCOME","F-test",3.49852396062961,0.0148331314963318
"GOVTPROG","t-test",4.34178741019643,1.45406248636421e-05
"POVERTY3","F-test",1.17090175434036,0.310140077305441
"PDEN10","F-test",4.61184968518733,0.00995972685572331
"COUTYP4","F-test",1.90094642331364,0.149494301970118
