"feature","test","statistic","p.value"
"IRALCFY","t-test",-13.0050212558814,3.46005488388025e-35
"IRMJFY","t-test",-17.1749721913263,1.66650889777313e-56
"IRCIGFM","t-test",-6.46113344317622,1.82500851187095e-10
"IRSMKLSS30N","t-test",-3.40345451985332,0.000699217584328919
"IRALCFM","t-test",-10.3656645178467,1.07124416416984e-23
"IRMJFM","t-test",-14.6960635467336,1.90049131721306e-43
"IRCIGAGE","t-test",-48.9086016804081,3.07993306709077e-240
"IRSMKLSSTRY","t-test",12.7050162427865,9.26634946673021e-34
"IRALCAGE","t-test",39.2934473469219,3.66625408656137e-201
"IRMJAGE","t-test",35.5509704884438,5.37761955798127e-171
"MRJFLAG","chi-squared",1840.81822875019,0
"ALCFLAG","chi-squared",1351.09054887167,8.92672226408919e-296
"ALCYDAYS","t-test",-23.9060715282774,3.03032985655773e-96
"MRJYDAYS","t-test",-25.0742813446207,3.81866122281926e-103
"ALCMDAYS","t-test",-15.1981153325156,4.65839075648166e-46
"MRJMDAYS","t-test",-18.5667868794094,2.67206153475084e-64
"CIGMDAYS","t-test",-9.7050997084886,4.18545062075016e-21
"SMKLSMDAYS","t-test",-4.76399540028252,2.26185772154544e-06
"SCHFELT","chi-squared",74.2613947897361,6.84286952413879e-18
"TCHGJOB","chi-squared",68.4935558746247,1.2729289511868e-16
"AVGGRADE","chi-squared",100.499232649372,1.1844283534923e-23
"STNDSCIG","chi-squared",51.4517109846805,7.33800016989981e-13
"STNDSMJ","chi-squared",387.694735857442,2.62869272168625e-86
"STNDALC","chi-squared",280.012216435221,7.46335269781922e-63
"STNDDNK","chi-squared",163.650574465983,1.8034169474716e-37
"PARCHKHW","chi-squared",84.7945797917264,3.31030591204813e-20
"PARHLPHW","chi-squared",72.383838032999,1.77158910197983e-17
"PRCHORE2","chi-squared",6.50781718771162,0.0107401267234453
"PRLMTTV2","chi-squared",46.512284186156,9.10458915743532e-12
"PARLMTSN","chi-squared",0.685567547231403,0.407676126551725
"PRGDJOB2","chi-squared",67.8190766522111,1.79207223527518e-16
"PRPROUD2","chi-squared",89.3015323943904,3.38996464943763e-21
"ARGUPAR","chi-squared",76.0415264837689,2.77761664031286e-18
"YOFIGHT2","chi-squared",122.5443153045,1.75452306770961e-28
"YOGRPFT2","chi-squared",117.901293277206,1.82234968759987e-27
"YOHGUN2","chi-squared",129.334894929011,5.72890030202336e-30
"YOSELL2","chi-squared",345.360902449857,4.33898194550294e-77
"YOSTOLE2","chi-squared",302.183842248529,1.10151737413723e-67
"YOATTAK2","chi-squared",115.826957540895,5.18631806628013e-27
"PRPKCIG2","chi-squared",87.6443967538674,7.8346180986668e-21
"PRMJEVR2","chi-squared",353.234649733728,8.37062561277323e-79
"PRMJMO","chi-squared",361.803040867205,1.14019645053248e-80
"PRALDLY2","chi-squared",105.824963151098,8.05445285576891e-25
"YFLPKCG2","chi-squared",97.8740171772907,4.45865936130355e-23
"YFLTMRJ2","chi-squared",487.184928139712,5.83906423322078e-108
"YFLMJMO","chi-squared",553.148243623825,2.60089450740497e-122
"YFLADLY2","chi-squared",199.186060490401,3.14378968239343e-45
"FRDPCIG2","chi-squared",85.9819519006913,1.8158537150516e-20
"FRDMEVR2","chi-squared",469.936836592636,3.30760423900939e-104
"FRDMJMON","chi-squared",541.006288489426,1.13898222087866e-119
"FRDADLY2","chi-squared",241.627144712321,1.73748170522405e-54
"TALKPROB","chi-squared",19.3479787922536,1.08934487901745e-05
"PRTALK3","chi-squared",0.0178462116058726,0.893727018556592
"PRBSOLV2","chi-squared",1.390817938148,0.238267018035273
"PREVIOL2","chi-squared",1.48067743224264,0.223668561821602
"PRVDRGO2","chi-squared",1.22177782726733,0.269012034695547
"GRPCNSL2","chi-squared",4.89694257056539,0.0269042889112476
"PREGPGM2","chi-squared",0.696806653343549,0.403858789857668
"YTHACT2","chi-squared",13.0560781891823,0.000302301761230655
"DRPRVME3","chi-squared",2.87635204039967,0.089889451092851
"ANYEDUC3","chi-squared",18.6970949947704,1.53215733692826e-05
"RLGATTD","chi-squared",26.2086002306042,3.06454666270589e-07
"RLGIMPT","chi-squared",52.793962877548,3.70438142299321e-13
"RLGDCSN","chi-squared",52.6755181855774,3.93465271256551e-13
"RLGFRND","chi-squared",32.5590797589706,1.15623692934827e-08
"IRSEX","chi-squared",0.347412336103637,0.555581611593391
"NEWRACE2","chi-squared",59.9559091676698,4.59480996651354e-11
"HEALTH2","chi-squared",144.364667319084,4.32771830261212e-31
"EDUSCHLGO","chi-squared",19.7424751275557,8.86098922415954e-06
"EDUSCHGRD2","chi-squared",205.49109029243,1.15368824222864e-38
"EDUSKPCOM","chi-squared",84.4086852367297,4.68691296125654e-19
"IMOTHER","chi-squared",21.9274055082051,1.73190630259445e-05
"IFATHER","chi-squared",15.0583859984524,0.000537171579696409
"INCOME","chi-squared",19.8341952775028,0.000183715406227125
"GOVTPROG","chi-squared",22.3458415437148,2.27705583837937e-06
"POVERTY3","chi-squared",1.85035990112428,0.396460069443121
"PDEN10","chi-squared",38.1256440268096,5.26164556847675e-09
"COUTYP4","chi-squared",42.8373305086058,4.9887514879286e-10
