"variable","p_value","test_type"
"MRJFLAG",1,"chi_squared"
"ALCFLAG",1,"chi_squared"
"TOBFLAG",1,"chi_squared"
"SCHFELT",1,"chi_squared"
"TCHGJOB",1,"chi_squared"
"AVGGRADE",1,"chi_squared"
"STNDSCIG",1,"chi_squared"
"STNDSMJ",1,"chi_squared"
"STNDALC",1,"chi_squared"
"STNDDNK",1,"chi_squared"
"PARCHKHW",1,"chi_squared"
"PARHLPHW",1,"chi_squared"
"PRCHORE2",1,"chi_squared"
"PRLMTTV2",1,"chi_squared"
"PARLMTSN",1,"chi_squared"
"PRGDJOB2",1,"chi_squared"
"PRPROUD2",1,"chi_squared"
"ARGUPAR",1,"chi_squared"
"YOFIGHT2",1,"chi_squared"
"YOGRPFT2",1,"chi_squared"
"YOHGUN2",1,"chi_squared"
"YOSELL2",1,"chi_squared"
"YOSTOLE2",1,"chi_squared"
"YOATTAK2",1,"chi_squared"
"PRPKCIG2",1,"chi_squared"
"PRMJEVR2",1,"chi_squared"
"PRMJMO",1,"chi_squared"
"PRALDLY2",1,"chi_squared"
"YFLPKCG2",1,"chi_squared"
"YFLTMRJ2",1,"chi_squared"
"YFLMJMO",1,"chi_squared"
"YFLADLY2",1,"chi_squared"
"FRDPCIG2",1,"chi_squared"
"FRDMEVR2",1,"chi_squared"
"FRDMJMON",1,"chi_squared"
"FRDADLY2",1,"chi_squared"
"TALKPROB",1,"chi_squared"
"PRTALK3",1,"chi_squared"
"PRBSOLV2",1,"chi_squared"
"PREVIOL2",1,"chi_squared"
"PRVDRGO2",1,"chi_squared"
"GRPCNSL2",1,"chi_squared"
"PREGPGM2",1,"chi_squared"
"YTHACT2",1,"chi_squared"
"DRPRVME3",1,"chi_squared"
"ANYEDUC3",1,"chi_squared"
"RLGATTD",1,"chi_squared"
"RLGIMPT",1,"chi_squared"
"RLGDCSN",1,"chi_squared"
"RLGFRND",1,"chi_squared"
"IRSEX",1,"chi_squared"
"NEWRACE2",0.226962832847802,"chi_squared"
"HEALTH2",0.213309305083417,"chi_squared"
"EDUSCHLGO",1,"chi_squared"
"EDUSCHGRD2",0.232204780500856,"chi_squared"
"EDUSKPCOM",0.199148273471456,"chi_squared"
"IMOTHER",0.199148273471456,"chi_squared"
"IFATHER",0.199148273471456,"chi_squared"
"INCOME",0.213309305083417,"chi_squared"
"GOVTPROG",1,"chi_squared"
"POVERTY3",0.199148273471456,"chi_squared"
"PDEN10",0.199148273471456,"chi_squared"
"COUTYP4",0.199148273471456,"chi_squared"
"IRALCFY",0.038939073546012,"kolmogorov_smirnov"
"IRMJFY",0.6796802234976,"kolmogorov_smirnov"
"IRCIGFM",1,"kolmogorov_smirnov"
"IRSMKLSS30N",1,"kolmogorov_smirnov"
"IRALCFM",0.898377713591704,"kolmogorov_smirnov"
"IRMJFM",0.958709846083317,"kolmogorov_smirnov"
"IRCIGAGE",0.999961649182549,"kolmogorov_smirnov"
"IRSMKLSSTRY",1,"kolmogorov_smirnov"
"IRALCAGE",0.0199602719804729,"kolmogorov_smirnov"
"IRMJAGE",0.527988062631251,"kolmogorov_smirnov"
"ALCYDAYS",0.038939073546012,"kolmogorov_smirnov"
"MRJYDAYS",0.6796802234976,"kolmogorov_smirnov"
"ALCMDAYS",0.898377713591704,"kolmogorov_smirnov"
"MRJMDAYS",0.958709846083317,"kolmogorov_smirnov"
"CIGMDAYS",1,"kolmogorov_smirnov"
"SMKLSMDAYS",1,"kolmogorov_smirnov"
